0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,label
-0.03455033370890746,-0.03537451434092613,-0.03699441981242036,-0.03940083440394253,-0.04254114690248598,-0.04636135326568034,-0.05077579501777239,-0.05571671177901595,-0.061063120514664025,-0.06671149379508444,-0.07252956320908267,-0.0783737609514653,-0.0841181954378899,-0.0896119726729376,-0.09471647593972383,-0.09929167977371749,-0.10322911430135046,-0.10642947653695174,-0.10880045678214761,-0.11027411733056339,-0.11082319662648035,-0.1104548137494486,-0.10915726725513847,-0.1069992693764931,-0.10403859859409544,-0.1003593339427294,-0.09602911593901535,-0.09117778133323755,-0.08590576452592526,-0.08029998037221332,-0.07447500836032236,-0.06849674906150138,-0.062445894494151596,-0.0563819227433694,-0.05032245496227352,-0.04433241073248888,-0.03842690569417139,-0.03261562759869715,-0.026927855969634575,-0.02137558939994734,-0.016014678677711967,-0.010859537924233493,-0.005924501157543808,-0.0013100481173428276,0.0029402814025923894,0.006758639473399428,0.010082686966072063,0.012832483338899043,0.014940741060731327,0.016388989144991067,0.017112776860060037,1
-0.035410369494250755,-0.03622814022968106,-0.03783548766851911,-0.04022328915331237,-0.04333948567955538,-0.047130591304743244,-0.051511552245687396,-0.056415260279726695,-0.06172153833298779,-0.06732745998300962,-0.07310160414981869,-0.07890097067315338,-0.08460020559876077,-0.09004903085381244,-0.09510902976386253,-0.09964041771412695,-0.10353468537353164,-0.10669264022214128,-0.10902173638015625,-0.11045385510093905,-0.1109612837555959,-0.11055078979980046,-0.10921024209719335,-0.10700793946734569,-0.10400134982338932,-0.10027435506597102,-0.09589445642520317,-0.09099149668697296,-0.08566607700891223,-0.08000541047240307,-0.07412475984557525,-0.06809042568900694,-0.06198382653823187,-0.05586531585719055,-0.04975329633968091,-0.04371337271419773,-0.0377613988961735,-0.03190790470843849,-0.026182489308799396,-0.02059752235702288,-0.015208707287456982,-0.010030657368869588,-0.005077548392493466,-0.00044928477834423053,0.0038112183348941887,0.007636519594585932,0.0109650195240596,0.013717452893292374,0.01582718528996862,0.017276112071307102,0.018000038144065457,1
-0.03710546773900259,-0.037910638207176425,-0.039493300073906876,-0.041844511945724146,-0.044913302184401344,-0.048647203316973205,-0.05296235011411058,-0.05779291564549885,-0.06302030651345625,-0.06854277721875228,-0.07423057174738121,-0.07994180335424408,-0.08555217153374725,-0.09091260763091184,-0.09588508560198528,-0.10033029234332187,-0.10413963863436057,-0.10721414475341365,-0.10946080108243383,-0.11081113119279141,-0.11123653592990983,-0.11074309138183983,-0.10931782565398282,-0.10702822653575964,-0.10393115782750431,-0.10011011922241161,-0.09563234592160938,-0.0906276989551873,-0.08519711880787556,-0.07942841551354587,-0.07343819989789734,-0.06729357121810958,-0.0610773833586151,-0.05485171957348035,-0.04863652504761985,-0.042498753391848096,-0.036455711321943515,-0.03051958067946087,-0.024720585185613604,-0.019071815088768637,-0.013628671642399294,-0.008406147572553991,-0.0034180930873224935,0.0012367390008467954,0.005516679028126451,0.009355103134572336,0.012691885407121394,0.015449103739446194,0.01756142143539318,0.019011467014966324,0.01973555621097708,1
-0.0395629752035368,-0.04034976032170112,-0.04189640484633014,-0.0441942277150358,-0.04719384665839936,-0.0508442824876041,-0.05506340416497532,-0.05978725585528627,-0.06489955667124978,-0.07030028411681064,-0.0758621156960977,-0.08144479094845758,-0.0869255442140055,-0.09215707776301807,-0.09700193561518436,-0.10132149420970989,-0.10500704707660968,-0.10795992190737719,-0.1100864348545513,-0.11131758799753835,-0.1116234873371062,-0.11100919608793247,-0.10946051923327053,-0.10704375460132731,-0.10381489134231042,-0.09985687222050177,-0.09523654639085893,-0.09008380438129523,-0.08450009174646793,-0.07857409940721696,-0.07242440105499279,-0.0661192776263193,-0.05974368193304058,-0.053362229693631844,-0.046997126090341075,-0.04071729009595848,-0.03454215029988241,-0.0284862962793637,-0.02258085382884362,-0.01683995712515183,-0.01131854612427603,-0.006032151456739288,-0.0009941317340111527,0.0036984723560421554,0.008005826520164063,0.011862529042759919,0.01521063058642714,0.01797418552804271,0.020089772736062095,0.02154110561917491,0.02226526088157354,1
-0.04270600038684925,-0.04346922212281588,-0.04496970376995262,-0.04719907952256726,-0.05010999562033852,-0.05365336576212129,-0.05774926515689539,-0.06233611453876366,-0.06730058212090576,-0.07254484358669272,-0.07794468519157322,-0.0833619285283136,-0.08867576802562208,-0.09374118792935508,-0.09842147904837448,-0.10257891999055636,-0.10610467367284818,-0.10890048219215906,-0.11087183480331282,-0.11194909430270393,-0.11210073788282367,-0.11133055769094251,-0.10962282623848882,-0.10704233896234508,-0.10364399584197923,-0.09951004989237441,-0.09470687915652633,-0.08936442600318403,-0.083584816222727,-0.07745788809772938,-0.07110472009469977,-0.06459513836423841,-0.05801678047463793,-0.05143751711097933,-0.044882449439742136,-0.03842299201384107,-0.03208127910391809,-0.025874955369881127,-0.019836262227583057,-0.013980626964156733,-0.008362332630606734,-0.0029975412532819348,0.0021010836514454324,0.006838783565899061,0.011178149944012486,0.015055425385806565,0.01841553010868628,0.021185109007886206,0.023303254548840642,0.02475512451905551,0.025478804314771265,0
-0.046444366949908264,-0.04717945581390519,-0.048624817118116614,-0.05077243745106554,-0.05357736249361475,-0.05699274236986193,-0.060941257341590095,-0.06536413132080993,-0.0701515312107034,-0.07520824211374194,-0.08041375175038126,-0.08563237067143344,-0.09074563039014698,-0.09561127025333863,-0.10009350969754598,-0.1040557504971623,-0.10738905186171457,-0.10999569053334479,-0.11178024657099639,-0.11267237100006516,-0.11263865629334667,-0.11168142375137258,-0.10978317475004516,-0.10700693388735467,-0.10340634133766566,-0.09906284410455574,-0.09404227455136263,-0.08847463328061579,-0.08246287457051855,-0.07609820707983346,-0.06950464845033616,-0.06275388563503739,-0.055936729717433284,-0.049124923362608916,-0.04234700732477335,-0.03567733233279187,-0.029141235190888428,-0.022759954239157255,-0.016567013023382305,-0.010579326870414957,-0.004850321393173134,0.0006031600189065657,0.005769357162036371,0.010556344257397973,0.01492967924621385,0.01882766989134097,0.022198752759966082,0.02497273111852856,0.027091766741904263,0.02854280375787851,0.02926518107843743,0
-0.050560059913017666,-0.051263705753029964,-0.052647475105871,-0.05470372828789854,-0.057390223995760214,-0.06066263104272673,-0.06444655172514596,-0.06868635639680426,-0.0732761360445717,-0.07812359765518742,-0.08311237528249055,-0.08810955791238964,-0.09299926650526655,-0.09764232061059691,-0.10190395058554678,-0.10564878566817468,-0.10876771707494294,-0.11116357734266802,-0.11273989660258366,-0.11342550377534868,-0.11318484683600723,-0.112018565229678,-0.10990717968431528,-0.10691171988041093,-0.10308445938177851,-0.09850597985824755,-0.09324154785641926,-0.0874212925266702,-0.08114920509361807,-0.07451812891705523,-0.06765542487605196,-0.06063499621088102,-0.05355127911192897,-0.04648044788547848,-0.039454972762970095,-0.03255249979509082,-0.025801975863107188,-0.019228661407176325,-0.01286745561562224,-0.006736880039669048,-0.0008892586911354739,0.004657908425229042,0.009894001463536518,0.014730463113799577,0.0191363336168867,0.023052406603729148,0.026431239719969232,0.029206293546835065,0.03132331164208105,0.03277134695186747,0.03349121823647767,0
-0.05494229702377325,-0.05561192265379254,-0.0569290566757763,-0.05888642977099912,-0.06144473790004814,-0.06456236909636606,-0.06816807111740605,-0.07220959923691478,-0.07658528212054802,-0.0812059829950666,-0.0859598209453778,-0.09071689654816725,-0.09536411854036095,-0.09976566971175485,-0.10378789434023829,-0.10729677631578345,-0.11018303795428244,-0.11235012377946921,-0.11370047792061382,-0.1141620700349635,-0.11369705737249178,-0.11230427581614502,-0.10996215474137502,-0.10672957505385203,-0.10265739448210703,-0.09782529587232336,-0.09229797504919256,-0.08620573563166165,-0.07965377683536246,-0.07273677529875641,-0.06558569281522353,-0.058276932774964894,-0.05090886877825405,-0.04356251915079959,-0.03627464004131298,-0.029126403279267667,-0.022150649166596172,-0.015376938210848345,-0.0088415670945903,-0.0025647009778721544,0.003402695808246616,0.009042553001056188,0.014345640811723596,0.019227281597338615,0.023660459924833836,0.027588870955253298,0.030969740722000504,0.03374062844794623,0.035851316195629986,0.03729326936065647,0.03800900471997361,0
-0.059413297844297525,-0.06004739116759243,-0.06129493880521682,-0.0631490195552425,-0.0655734112889225,-0.0685293465923504,-0.07194885144706598,-0.07578320357272963,-0.07993516064248833,-0.08431888408774514,-0.08882718248238726,-0.09333331108891703,-0.09772707020964612,-0.1018761901342641,-0.10564818954090201,-0.10891048727736558,-0.11155362138793332,-0.11348166964905404,-0.1145959796933602,-0.11482364110543683,-0.1141244299930141,-0.11249529881436755,-0.10991253955639124,-0.10643278930031222,-0.1021055015376657,-0.09700946702863349,-0.09120884004718181,-0.08483416290386896,-0.07799202291575073,-0.07077911209192059,-0.0633301535095951,-0.05572431574022668,-0.04806412564449524,-0.04043574827006065,-0.032880479187776576,-0.025483136763496422,-0.018280623734171688,-0.011306937517817216,-0.0045997188697191466,0.0018192709493364684,0.007900713497194862,0.013626126191937947,0.01898794247382295,0.02390585202686505,0.028357203033099455,0.03228900531658106,0.03566364664786856,0.03842315706559813,0.04052176079448829,0.04195361891364095,0.04266315068782317,0
-0.06384559930002684,-0.06444296409804812,-0.06561859494973026,-0.0673659284204779,-0.06965196683851882,-0.07244093050310656,-0.07566827282945518,-0.07928894903475132,-0.08321033512129633,-0.08735005811212558,-0.09160579752966322,-0.0958541152936237,-0.09998780027419159,-0.10387828353378217,-0.10739432533089464,-0.11040484376796762,-0.1128001747822011,-0.11448501566292416,-0.11535961075865146,-0.11535013849105863,-0.11441391951552209,-0.11254594342077848,-0.1097203325910459,-0.10599139893709103,-0.10140721763083463,-0.09604569027678625,-0.08997045570506189,-0.08331234396198638,-0.07617948764603884,-0.06867073800370245,-0.06092462924180917,-0.05302332331474897,-0.04507361183013097,-0.03716700273514811,-0.029349466715842983,-0.021709486311874002,-0.01428807923658643,-0.007123680409792143,-0.00025516026800763425,0.006294254708163877,0.012477215007162243,0.01827502869813452,0.02368207187505024,0.02862287311066343,0.03307951626175061,0.037002714443342855,0.0403604500527186,0.04309952657815121,0.04517894963997127,0.04659584092557953,0.04729669743777989,0
